Start date,FormattedDate,Duration,Hours,
10/09/2023,20230910,00:29:46,0.50,
16/09/2023,20230916,01:57:28,1.96,
17/09/2023,20230917,01:54:38,1.91,
18/09/2023,20230918,04:29:33,4.49,
19/09/2023,20230919,02:27:50,2.46,
20/09/2023,20230920,02:50:47,2.85,
21/09/2023,20230921,02:08:10,2.14,
22/09/2023,20230922,02:16:00,2.27,
23/09/2023,20230923,01:48:15,1.80,
25/09/2023,20230925,02:11:18,2.19,
26/09/2023,20230926,02:53:09,2.89,
27/09/2023,20230927,02:17:19,2.29,
28/09/2023,20230928,02:38:55,2.65,
29/09/2023,20230929,04:48:55,4.82,
30/09/2023,20230930,01:29:32,1.49,
02/10/2023,20231002,01:30:47,1.51,
03/10/2023,20231003,00:42:29,0.71,
04/10/2023,20231004,02:42:49,2.71,
05/10/2023,20231005,01:02:22,1.04,
10/10/2023,20231010,00:56:14,0.94,
11/10/2023,20231011,01:58:22,1.97,
12/10/2023,20231012,00:38:45,0.65,
13/10/2023,20231013,01:47:44,1.80,
14/10/2023,20231014,01:32:57,1.55,
15/10/2023,20231015,01:55:52,1.93,
17/10/2023,20231017,01:05:13,1.09,
18/10/2023,20231018,01:18:00,1.30,
19/10/2023,20231019,01:00:05,1.00,
20/10/2023,20231020,01:40:27,1.67,
21/10/2023,20231021,02:08:55,2.15,
22/10/2023,20231022,04:01:45,4.03,
23/10/2023,20231023,01:15:37,1.26,
24/10/2023,20231024,00:59:26,0.99,
25/10/2023,20231025,02:17:27,2.29,
26/10/2023,20231026,04:22:32,4.38,
27/10/2023,20231027,00:51:20,0.86,
28/10/2023,20231028,03:14:08,3.24,
29/10/2023,20231029,03:25:17,3.42,
30/10/2023,20231030,00:02:57,0.05,
31/10/2023,20231031,02:03:02,2.05,
01/11/2023,20231101,03:46:56,3.78,
03/11/2023,20231103,01:07:08,1.12,
04/11/2023,20231104,02:19:05,2.32,
05/11/2023,20231105,02:05:39,2.09,
06/11/2023,20231106,03:00:51,3.01,
08/11/2023,20231108,01:12:13,1.20,
09/11/2023,20231109,01:46:46,1.78,
10/11/2023,20231110,00:45:04,0.75,
11/11/2023,20231111,03:00:52,3.01,
12/11/2023,20231112,03:12:42,3.21,
13/11/2023,20231113,02:23:26,2.39,
14/11/2023,20231114,01:05:49,1.10,
15/11/2023,20231115,02:15:48,2.26,
16/11/2023,20231116,01:18:11,1.30,
17/11/2023,20231117,04:22:59,4.38,
18/11/2023,20231118,00:35:43,0.60,
20/11/2023,20231120,00:37:09,0.62,
21/11/2023,20231121,01:44:24,1.74,
22/11/2023,20231122,01:45:44,1.76,
23/11/2023,20231123,02:12:46,2.21,
24/11/2023,20231124,01:46:59,1.78,
28/11/2023,20231128,00:53:21,0.89,
05/12/2023,20231205,00:34:37,0.58,
07/12/2023,20231207,02:59:32,2.99,
08/12/2023,20231208,00:13:58,0.23,
09/12/2023,20231209,00:42:00,0.70,
10/12/2023,20231210,01:50:36,1.84,
11/12/2023,20231211,01:23:23,1.39,
17/12/2023,20231217,02:24:47,2.41,
